--ÓñºâÓ¡£¨±©ÂÊ°æ£©
drops=
{
    { id=1143,count=1,strong =-4,quality=-3, propability=556, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=129,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=130,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=131,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=132,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=133,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=134,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=135,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=136,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=137,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=138,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=139,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=140,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=141,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=142,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=143,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=144,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=145,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=146,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=147,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=148,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=149,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=150,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=118,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=119,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=120,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=121,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=122,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=123,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=124,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=125,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=126,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=127,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=128,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=107,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=108,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=109,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=110,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=111,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=112,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=113,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=114,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=115,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=116,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=117,count=1,strong =-4,quality=-3, propability=1111, bind=0,group=1,strongMin =1,qualityMin=2},
 { id=1692,count=3,strong =0,quality=0, propability=40, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1695,count=3,strong =0,quality=0, propability=40, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1698,count=3,strong =0,quality=0, propability=40, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1701,count=3,strong =0,quality=0, propability=40, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1685,count=1,strong =0,quality=0, propability=20, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1690,count=1,strong =0,quality=0, propability=100, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=611,count=2,strong =0,quality=0, propability=33, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1002,count=15,strong =0,quality=0, propability=17, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1646,count=6,strong =0,quality=0, propability=17, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1647,count=4,strong =0,quality=0, propability=17, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=747,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=757,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=767,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=777,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=787,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=797,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=807,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=817,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=827,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1004,count=2,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1005,count=2,strong =0,quality=0, propability=56, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1009,count=3,strong =0,quality=0, propability=25, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1011,count=2,strong =0,quality=0, propability=47, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1558,count=3,strong =0,quality=0, propability=25, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1559,count=10,strong =0,quality=0, propability=17, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1588,count=2,strong =0,quality=0, propability=100, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1440,count=1,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1590,count=1,strong =0,quality=0, propability=200, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1658,count=4,strong =0,quality=0, propability=29, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1442,count=3,strong =0,quality=0, propability=20, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1003,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1687,count=1,strong =0,quality=0, propability=1, bind=0,group=1,strongMin =0,qualityMin=0},

}
