--¿ªÑôÓ¡£¨±©ÂÊ°æ£©
drops=
{
   { id=1228,count=1,strong =0,quality=-3, propability=908, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=207,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=208,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=209,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=210,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=211,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=212,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=213,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=192,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=193,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=194,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=195,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=196,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=197,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=198,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=199,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=200,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=201,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=202,count=1,strong =0,quality=-3, propability=1427, bind=0,group=1,strongMin =0,qualityMin=2},
 { id=596,count=10,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=597,count=10,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=598,count=10,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=602,count=10,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=603,count=10,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=604,count=10,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1691,count=2,strong =0,quality=0, propability=45, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1694,count=2,strong =0,quality=0, propability=45, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1697,count=2,strong =0,quality=0, propability=45, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1700,count=2,strong =0,quality=0, propability=45, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1684,count=2,strong =0,quality=0, propability=25, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1686,count=2,strong =0,quality=0, propability=17, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1689,count=1,strong =0,quality=0, propability=100, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=611,count=1,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1002,count=5,strong =0,quality=0, propability=15, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1646,count=2,strong =0,quality=0, propability=15, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1647,count=2,strong =0,quality=0, propability=20, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=746,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=756,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=766,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=776,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=786,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=796,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=806,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=816,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=826,count=1,strong =0,quality=0, propability=67, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=747,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=757,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=767,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=777,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=787,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=797,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=807,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=817,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=827,count=1,strong =0,quality=0, propability=500, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1004,count=1,strong =0,quality=0, propability=100, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1005,count=1,strong =0,quality=0, propability=100, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1009,count=1,strong =0,quality=0, propability=25, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1011,count=1,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1558,count=1,strong =0,quality=0, propability=50, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1559,count=3,strong =0,quality=0, propability=18, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1588,count=1,strong =0,quality=0, propability=100, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1589,count=1,strong =0,quality=0, propability=200, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1442,count=1,strong =0,quality=0, propability=17, bind=0,group=1,strongMin =0,qualityMin=0},
 { id=1658,count=2,strong =0,quality=0, propability=1, bind=0,group=1,strongMin =0,qualityMin=0},

}
