Talk ={

a1="赤羽这个小娃娃不懂事，去帮我一顿！",f1="我打完了",c1="",r1="",s1="",t1="",
a35="你去采些止血草交给秀清，她能配出伤药来。",f35="好轻功！多谢你送止血草来！接下来的事情就交给我吧。",c35="",r35="",s35="",t35="",
a36="小心！那帮强盗叫来了帮手！好像很厉害的样子！",f36="这帮强盗劫了雁门关的军饷往西北方去了，若是让他们逃入大沙漠，就难追回来了。",c36="",r36="",s36="",t36="",
a37="他们人多势众，你先跟上他们，我这就飞鸽传书叫人来帮忙！",f37="你说那帮强盗？他们往左边的山上去了！",c37="",r37="",s37="",t37="",
a38="对了，有个女孩被强盗困住，你去救救她吧！",f38="你来得正好！帮帮我！",c38="",r38="",s38="",t38="",
a39="这些人无耻暗算，我受伤不轻，你可否帮我采些草药来？",f39="呼……这下好多了……",c39="",r39="",s39="",t39="",
a40="可惜我受伤未愈，不能与你共闯龙潭，你千万要小心！",f40="可惜我受伤未愈，不能与你共闯龙潭，你千万要小心！",c40="",r40="",s40="",t40="",
a41="那些强盗沿途安排了守卫，你一波一波守卫打过去，肯定能找到他们的踪迹！",f41="什么人！",c41="",r41="",s41="",t41="",
a42="居然有个不怕死的？也好，把头伸过来，我给你看个宝贝！",f42="纳尼？没想到他们居然拦不住你？真是废物！",c42="",r42="",s42="",t42="",
a43="到此为止了小子！爆发吧山贼的小宇宙！！！",f43="呔！大胆狂徒，竟敢冲撞我山贼大人，活腻了吗？",c43="",r43="",s43="",t43="",
a44="原来你是为那批军饷而来，既然如此，就凭本事来拿吧！",f44="好身手，不愧是我大汉儿郎。",c44="",r44="",s44="",t44="",
a45="军情紧急，从前方吊桥可以入城，速速出发吧！",f45="山贼溃逃了？真是太好了……唉，都怪城中战事紧急，才被山贼有机可乘。",c45="",r45="",s45="",t45="",
a46="不好！敌人杀上城楼了！快去帮忙！",f46="前有外族，后有羌兵，唉……真是内忧外患。",c46="",r46="",s46="",t46="",
a47="如今情势严峻，你要出城恐怕不太顺利，不如一起先将这些外族击退？",f47="匪患猖獗！无法无天！真当我大汉无人不成！！！",c47="",r47="",s47="",t47="",
a48="我看你身手不错，可敢上阵杀敌，给这些外族留点永生难忘的教训？",f48="多谢援手！",c48="",r48="",s48="",t48="",
a49="我们的兵士正在城下苦战，你去帮帮他们吧。",f49="好样的少年，让我们并肩作战吧！",c49="",r49="",s49="",t49="",
a50="外族人多示众，使用技能攻击可以更快速消灭他们。",f50="你学会了？很好，你要记住，招数是死的，人是活的，灵活运用方能克敌制胜。",c50="",r50="",s50="",t50="",
a51="那帮外族又杀来了，你去试试手吧！",f51="对方人多势众，更兼地利优势，只可智取不可力敌。",c51="",r51="",s51="",t51="",
a52="俗话说擒贼先擒王，你若能直入中军，取了那敌将首级，外族将不战自溃。",f52="什么？！竟然一个人就杀溃了我的儿郎们……大汉什么时候出了这样一个年轻高手？",c52="",r52="",s52="",t52="",
a53="桀桀桀桀，你再能打，不过是匹夫之勇，直入我中军，你这是自寻死路！",f53="贼寇伏诛，剩下皆是残兵败将，不足为惧，这次真是多亏你了！",c53="",r53="",s53="",t53="",
a54="如今外族残兵劫持妇孺躲入了郡守府中，时间一长的话，只怕他们狗急跳墙……",f54="小英雄，多谢你救了我妹妹，如今我来助你！",c54="",r54="",s54="",t54="",
a55="如今外族负隅顽抗，你可敢跟我一同去闯闯那龙潭虎穴？",f55="你们竟然有胆子追来，未免太小看我们了，实在不能忍！",c55="",r55="",s55="",t55="",
a56="我帐中正缺一个称手的酒杯，我看你的头颅不错，拿来做酒杯正合适！",f56="没想到……竟会败给你们……",c56="",r56="",s56="",t56="",
a57="中原能人异士果然层出不穷，这回我们认栽，下次再见，就是你的死期！",f57="好小子，你果然没有辜负我的期望！！",c57="",r57="",s57="",t57="",
a58="如今塞外越来越乱，西域各族蠢蠢欲动，看来又是一个多事之秋啊……",f58="我得到密报，南匈安与白戎族即将开战，我先去白戎祖地，你去雁门关替我将此事告知兄弟们吧。",c58="",r58="",s58="",t58="",
a59="雁门关关山路迢，徒步前去可不行，那边有个马厩，你去牵匹马来。",f59="好马！此马不仅血脉纯正，若是精心培养还能进阶，潜力无穷！",c59="",r59="",s59="",t59="",
a60="如今驯马之术你已学会，军情紧急，去吧，一路小心！",f60="雁门关乃兵家重地，你们来此做甚？",c60="",r60="",s60="",t60="",

a61="",f61="大风起兮云飞扬，安得猛士兮守四方！",c61="",r61="",s61="",t61="",
a62="军医就在前方，你去找他聊聊。",f62="我与你一见如故，小小礼物不成敬意，请笑纳吧。",c62="",r62="",s62="",t62="",
a63="这些山贼到处扰民，实在可恨，你能赶走他们吗？",f63="多亏你及时赶到，否则后果真是不堪设想……",c63="",r63="",s63="",t63="",
a64="来帮忙的小伙子膝盖中了一箭，你去帮帮他吧。",f64="嘶……疼疼疼……你快去帮我拿些止血药来！",c64="",r64="",s64="",t64="",
a65="你去采些止血草交给秀清，她能配出伤药来。",f65="好轻功！多谢你送止血草来！接下来的事情就交给我吧。",c65="",r65="",s65="",t65="",
a66="小心！那帮强盗叫来了帮手！好像很厉害的样子！",f66="这帮强盗劫了雁门关的军饷往西北方去了，若是让他们逃入大沙漠，就难追回来了。",c66="",r66="",s66="",t66="",
a67="他们人多势众，你先跟上他们，我这就飞鸽传书叫人来帮忙！",f67="你说那帮强盗？他们往左边的山上去了！",c67="",r67="",s67="",t67="",
a68="对了，有个女孩被强盗困住，你去救救她吧！",f68="你来得正好！帮帮我！",c68="",r68="",s68="",t68="",
a69="这些人无耻暗算，我受伤不轻，你可否帮我采些草药来？",f69="呼……这下好多了……",c69="",r69="",s69="",t69="",
a70="可惜我受伤未愈，不能与你共闯龙潭，你千万要小心！",f70="可惜我受伤未愈，不能与你共闯龙潭，你千万要小心！",c70="",r70="",s70="",t70="",
a71="那些强盗沿途安排了守卫，你一波一波守卫打过去，肯定能找到他们的踪迹！",f71="什么人！",c71="",r71="",s71="",t71="",
a72="居然有个不怕死的？也好，把头伸过来，我给你看个宝贝！",f72="纳尼？没想到他们居然拦不住你？真是废物！",c72="",r72="",s72="",t72="",
a73="到此为止了小子！爆发吧山贼的小宇宙！！！",f73="呔！大胆狂徒，竟敢冲撞我山贼大人，活腻了吗？",c73="",r73="",s73="",t73="",
a74="原来你是为那批军饷而来，既然如此，就凭本事来拿吧！",f74="好身手，不愧是我大汉儿郎。",c74="",r74="",s74="",t74="",
a75="军情紧急，从前方吊桥可以入城，速速出发吧！",f75="山贼溃逃了？真是太好了……唉，都怪城中战事紧急，才被山贼有机可乘。",c75="",r75="",s75="",t75="",
a76="不好！敌人杀上城楼了！快去帮忙！",f76="前有外族，后有羌兵，唉……真是内忧外患。",c76="",r76="",s76="",t76="",
a77="如今情势严峻，你要出城恐怕不太顺利，不如一起先将这些外族击退？",f77="匪患猖獗！无法无天！真当我大汉无人不成！！！",c77="",r77="",s77="",t77="",
a78="我看你身手不错，可敢上阵杀敌，给这些外族留点永生难忘的教训？",f78="多谢援手！",c78="",r78="",s78="",t78="",
a79="我们的兵士正在城下苦战，你去帮帮他们吧。",f79="好样的少年，让我们并肩作战吧！",c79="",r79="",s79="",t79="",
a80="外族人多示众，使用技能攻击可以更快速消灭他们。",f80="你学会了？很好，你要记住，招数是死的，人是活的，灵活运用方能克敌制胜。",c80="",r80="",s80="",t80="",
a81="那帮外族又杀来了，你去试试手吧！",f81="对方人多势众，更兼地利优势，只可智取不可力敌。",c81="",r81="",s81="",t81="",
a82="俗话说擒贼先擒王，你若能直入中军，取了那敌将首级，外族将不战自溃。",f82="什么？！竟然一个人就杀溃了我的儿郎们……大汉什么时候出了这样一个年轻高手？",c82="",r82="",s82="",t82="",
a83="桀桀桀桀，你再能打，不过是匹夫之勇，直入我中军，你这是自寻死路！",f83="贼寇伏诛，剩下皆是残兵败将，不足为惧，这次真是多亏你了！",c83="",r83="",s83="",t83="",
a84="如今外族残兵劫持妇孺躲入了郡守府中，时间一长的话，只怕他们狗急跳墙……",f84="小英雄，多谢你救了我妹妹，如今我来助你！",c84="",r84="",s84="",t84="",
a85="如今外族负隅顽抗，你可敢跟我一同去闯闯那龙潭虎穴？",f85="你们竟然有胆子追来，未免太小看我们了，实在不能忍！",c85="",r85="",s85="",t85="",
a86="我帐中正缺一个称手的酒杯，我看你的头颅不错，拿来做酒杯正合适！",f86="没想到……竟会败给你们……",c86="",r86="",s86="",t86="",
a87="中原能人异士果然层出不穷，这回我们认栽，下次再见，就是你的死期！",f87="好小子，你果然没有辜负我的期望！！",c87="",r87="",s87="",t87="",
a88="如今塞外越来越乱，西域各族蠢蠢欲动，看来又是一个多事之秋啊……",f88="我得到密报，南匈安与白戎族即将开战，我先去白戎祖地，你去雁门关替我将此事告知兄弟们吧。",c88="",r88="",s88="",t88="",
a89="雁门关关山路迢，徒步前去可不行，那边有个马厩，你去牵匹马来。",f89="好马！此马不仅血脉纯正，若是精心培养还能进阶，潜力无穷！",c89="",r89="",s89="",t89="",
a90="如今驯马之术你已学会，军情紧急，去吧，一路小心！",f90="雁门关乃兵家重地，你们来此做甚？",c90="",r90="",s90="",t90="",

a91="什么？紧急军情？我这就去上报……你初来乍到，不妨去城里逛逛，熟悉一下雁门关。",f91="我这里有上好的伤药，独家秘制，童叟无欺，你要嚼两粒吗？",c91="",r91="",s91="",t91="",
a92="什么？紧急军情？我这就去上报……你初来乍到，不妨去城里逛逛，熟悉一下雁门关。",f92="我这里有上好的伤药，独家秘制，童叟无欺，你要嚼两粒吗？",c92="",r92="",s92="",t92="",
a93="什么？紧急军情？我这就去上报……你初来乍到，不妨去城里逛逛，熟悉一下雁门关。",f93="我这里有上好的伤药，独家秘制，童叟无欺，你要嚼两粒吗？",c93="",r93="",s93="",t93="",
a94="对了，那老狗膝盖中了一箭，你替我拿些伤药给他吧。",f94="<!&player>，多谢多谢……",c94="",r94="",s94="",t94="",
a95="出门在外讲究轻装简行，你可以把一些不用的装备寄存在仓不空那儿，去找他聊聊吧。",f95="我是仓不空，仓库永远不会空，东西存在我这里尽管放心。",c95="",r95="",s95="",t95="",
a96="秀清负责管理雁门关少男少女的婚姻大事，你可以去找他聊聊。",f96="又见面了……（抿嘴）如果有中意的对象可以去找婚车护送使，他会为你们好好安排的哟。",c96="",r96="",s96="",t96="",
a97="对了，老胡正在找你，像是有什么大事的样子，他在城主雕像那儿，快去找他吧。",f97="<!&player>，又见面了，别来无恙！",c97="",r97="",s97="",t97="",
a98="白戎祖地的事情我已经知道了，哎……真是头疼，这些外族，一刻也不让人消停的。",f98="唉，如今雁门关局势紧张，实在无法抽出人手了，白戎祖地的事情，就拜托你了，可以吗？",c98="",r98="",s98="",t98="",
a99="多谢你了，那神箭手在关外长大，对白戎族较为熟悉，你可以去找他了解了解情况。",f99="白戎族孱弱已久，对上南匈安，只怕是以卵击石啊……",c99="",r99="",s99="",t99="",
a100="这两族一向井水不犯河水，此中怕是有什么误会，你去到白戎祖地若能查清真相，当可化解这一场争端。",f100="站住！你是什么人！",c100="",r100="",s100="",t100="",
a101="我白戎族的事不需要你们这些外人插手！滚！不然我杀了你哟！",f101="现在白戎祖地内忧外患，人心惶惶，那士兵应该是把你当成坏人了。",c101="",r101="",s101="",t101="",
a102="解铃还须系铃人，此事因南匈安而起，要解决此事也得着落在南匈安身上。",f102="咦，是你！潺夜古城一别，想不到再见面竟是在此处……你是为了白戎族的事情而来的吗？",c102="",r102="",s102="",t102="",
a103="大漠规矩，一场定胜负，只要你能打败我这几个手下儿郎，卖你个面子又如何？",f103="好身手！我红日说话算话，就给你个面子，也给白戎族一个机会。",c103="",r103="",s103="",t103="",
a104="据我们查到的消息，白戎族便是上次偷袭我妹妹的始作俑者，此事如何解决，你让他们给我个交代！",f104="冤枉啊！我白戎族吃饱了撑的去偷袭南匈安，肯定是有人嫁祸给我们！",c104="",r104="",s104="",t104="",
a105="此事定有隐情，若南匈安给我们时间去调查，我们定会给他们个交代！",f105="好！我既不会放过元凶，亦不愿冤枉好人。就依你所说，给他们时间！",c105="",r105="",s105="",t105="",
a106="如今西域四处战乱，你奔波来去，不免辛苦，我传你神行之术，让你节约节约脚程。",f106="白戎祖地的事我已知晓，你辛苦了。",c106="",r106="",s106="",t106="",
a107="对了，看你手上兵器磨损严重，去找兑换使者换把新武器吧。",f107="神兵利器我有得是，但都是为那些替大汉立下汗马功勋的人所准备的！",c107="",r107="",s107="",t107="",
a108="历练副本已开，去挑战自我吧！",f108="恭喜通关成功，拿着吧！这是你应得的奖励！",c108="",r108="",s108="",t108="",
a109="历练副本每天可以挑战3次，若你是VIP，还能增加挑战次数，只要你有足够的历练值，神兵利器我这里管够！",f109="泓如秋水，光华内蕴，好一把神兵利器！看来你已通过了历练副本的考验。",c109="",r109="",s109="",t109="",
a110="如今新装备已入手，我来对你说说接下来的任务。",f110="根据探子回报，有一帮外族军队占据了楼兰废墟，这些人行迹可疑，看上去不属于西域三十六国之一，更像是遥远西方的胡人。",c110="",r110="",s110="",t110="",
a111="楼兰废墟乃是边关交通要道，事关重大，你去调查一番吧。",f111="站住！罗马大营，不得擅闯！",c111="",r111="",s111="",t111="",
a112="呼哇！敌人厉害，兄弟们上！",f112="斯道普！胡阿尤？哇阿尤都引？",c112="",r112="",s112="",t112="",
a113="不懂我们的语言，看来不是朋友，杀！",f113="艾力斯那个蠢货，竟连一个黄毛小子都收拾不下来吗？",c113="",r113="",s113="",t113="",
a114="你要救的人就在我手上，想救人，先问问我手中饥渴的大刀！",f114="好本事，我认栽……但你一定不是我们将军的对手！",c114="",r114="",s114="",t114="",
a115="那汉军就被关押在那儿，你去吧。",f115="呃……多谢你赶来相救，真是惭愧……",c115="",r115="",s115="",t115="",
a116="拜托你了！",f116="你的大恩我雁头铭记于心，日后刀山火海，赴汤蹈火不在话下！",c116="",r116="",s116="",t116="",
a117="这帮罗马人虽然擒住我们，但却并没有为难我们，似乎并没有恶意……",f117="我们只求避难，并无意侵略大汉，你们的人气势汹汹，我们也只能自保……",c117="",r117="",s117="",t117="",
a118="不好！将军那里……有刺客！",f118="好身手，你叫什么名字？",c118="",r118="",s118="",t118="",
a119="<!&player>吗？真是好样的，你能否帮我看看这帮人身上有没有一块令牌？",f119="果然是他们！没想到我们逃了这么远，还是躲不开……",c119="",r119="",s119="",t119="",
a120="小王子病情日益加重，我束手无策，你能否帮我去看看他？",f120="谢谢你来探望我，咳……咳……",c120="",r120="",s120="",t120="",
a121="我的身体，仿佛一块炭火在烧……好难受！！！",f121="看来他的风寒越来越重，若无医药，恐怕……",c121="",r121="",s121="",t121="",
a122="听说附近有座城镇，你可以帮我去那里找些药来吗？",f122="买药啊？你要买药的话，去市集就可以了。",c122="",r122="",s122="",t122="",
a123="对了……城中最近有些不太平，你既是从雁门关回来，想必身手不错，或许能帮帮我们。你去找传令官吧！",f123="唉，这几日城中匪患不断，我们官府力量都抽调去前线了，竟无人能制服那些江洋大盗，以至于他们如此猖狂。",c123="",r123="",s123="",t123="",
a124="你从雁门关来，想必身手不错，能否帮我镇压那些恶徒？",f124="果然好身手，多谢你了，这下乌垒城可就太平多了。",c124="",r124="",s124="",t124="",
a125="市集就在那边，你沿着这条路走下去便是了。",f125="你来得正好，帮我评评理！",c125="",r125="",s125="",t125="",
a126="这太守府的家丁强买强卖，连100块都不给我，实在太过分了！",f126="我太守府的人看上他的东西是他的荣幸，还想要钱？还有王法吗？",c126="",r126="",s126="",t126="",
a127="什么？你想多管闲事？打死你信不！",f127="那些狗奴才一向嚣张跋扈，没想到也有今天，我呸！活该！",c127="",r127="",s127="",t127="",
a128="诺，这是你要的伤寒药……对了，我这有本无意间得到的炼器秘籍，我拿着也没什么用，一并送给你罢。",f128="我是乌垒城的治安官，听说你身手不错，有点事需要你的帮忙。",c128="",r128="",s128="",t128="",
a129="有外族探子趁我城内空虚，潜入城中刺探军情，你替我去把他们揪出来。",f129="多谢你了！现在外族已经伏诛，你可以去城内逛逛，领略领略这边城风光。",c129="",r129="",s129="",t129="",
a130="对了，你身手如此了得，不如去加入一个世族，也好在乱世中建功立业，博一个流传千古的美名。",f130="我负责世族的建立，审核和管理，年轻人，你想加入世族吗？",c130="",r130="",s130="",t130="",
a131="很好，既然你有志于此，那我就来跟你讲讲世族相关的事宜。",f131="很好，既然你有志于此，那我就来跟你讲讲世族相关的事宜。",c131="",r131="",s131="",t131="",
a132="世族是我们边关对抗外族的主力，你以后要勤加修炼，以捍卫我大汉江山！",f132="你加入了世族？果然英雄出少年，正好，我这里有件事需要你的帮忙！",c132="",r132="",s132="",t132="",
a133="前几日我们有支粮饷队伍被强盗所劫，这帮强盗盘踞后山，打劫过往客商，嚣张至极，你替我去教训他们一番。",f133="看你这么快回来了，想必这些强盗已经得到了应有的教训。",c133="",r133="",s133="",t133="",
a134="对了，根据情报，那帮强盗还有一名首领，我们有一部分军饷在他手中，你去帮我夺回来吧！",f134="多谢你了……咦？为什么有一箱外族金币，还有……一封密函？！",c134="",r134="",s134="",t134="",
a135="这封密函……竟然是霍都护与敌国私通的书信？？？……不可能，此事定有隐情，你快返回雁门关找霍都护问个究竟吧。",f135="什么？霍都护……绝对不可能！此事定是有人陷害！",c135="",r135="",s135="",t135="",
a136="太守一向视都护府为眼中钉肉中刺，此事说不定是太守所为，若真是如此，他定有后招在等着我们！",f136="霍都护此刻正在白戎祖地，现在我传你无限神行之术，你速去见霍都护！",c136="",r136="",s136="",t136="",
a137="太守已经发下了通缉令，你速去白戎祖地寻霍都护吧！",f137="竟有此事……想不到我霍安一生为国为民，竟被奸佞小人陷害，落得个阶下囚的下场……我定要找出真相！",c137="",r137="",s137="",t137="",
a138="听你所言，那军饷中的外族金币前所未见，或许来自那西域以西的世界……你去楼兰废墟问问那些罗马人，或许他们知道。",f138="多谢你为我买药，辛苦了。",c138="",r138="",s138="",t138="",
a139="将军就在上面，你去找他吧。",f139="那金币……确实是我罗马的制式钱币，但我国未曾与你们通商，怎会流到中土……奇怪，奇怪……",c139="",r139="",s139="",t139="",
a140="唯一的可能，便是大王子提比斯与你们大汉的人有交易，这也是提比斯的惯用伎俩。如果真是这样，你们大汉定是出了内鬼！",f140="原来如此……此事定是太守栽赃陷害！只有他一直视都护府为眼中钉肉中刺！",c140="",r140="",s140="",t140="",
a141="只可惜此刻有一队匈奴来袭，我们先去击退他们，再想办法解救霍都护！",f141="只可惜此刻有一队匈奴来袭，我们先去击退他们，再想办法解救霍都护！",c141="",r141="",s141="",t141="",
a142="对了，今日在这附近发现一处上古遗迹，你先去其中探探，或许有所收获。",f142="对了，今日在这附近发现一处上古遗迹，你先去其中探探，或许有所收获。",c142="",r142="",s142="",t142="",
a143="匈奴已经发动了攻势，走，战吧！",f143="今日真是多亏了你，这些匈奴时常骚扰，真是烦不胜烦，以后还请你多多费心了！",c143="",r143="",s143="",t143="",
a144="根据情报，白戎祖地又有变数，你去看看吧。",f144="你来得正好，我已等你多时了！",c144="",r144="",s144="",t144="",
a145="俗话说无利不起早，那神秘势力挑起南匈安的争斗，必有所图！",f145="近日我白戎族的圣地中似乎有异动……",c145="",r145="",s145="",t145="",
a146="难道，那帮家伙是为了它？！……不好！",f146="他们……突然闯入……我膝盖中了一箭，已然坚持不住……",c146="",r146="",s146="",t146="",
a147="愚蠢的凡人，总有一天你会为你的所作所为付出代价的！",f147="调虎离山……可恶，感觉智商被他们碾压了！！",c147="",r147="",s147="",t147="",
a148="我会让他们付出代价的！是时候和白戎族联手了！你替我去找白戎族老头聊聊吧！",f148="红日的提议正合我意，就算磐尽全族最后一滴鲜血，也要让这些该死的人得到应有的惩罚！",c148="",r148="",s148="",t148="",
a149="对了，我族大长老想见你，你去见见他吧。",f149="那老头想把地图给你？",c149="",r149="",s149="",t149="",
a150="但白戎族长将地图给你，那伙人恐怕会将目标放在你身上，你要做好承受压力的心理准备！",f150="好身手，地图托付给你我也放心了。",c150="",r150="",s150="",t150="",
a151="你去找我族大长老，地图在他那里保管着。",f151="族长老糊涂了吗？族内重宝怎可轻授于人？",c151="",r151="",s151="",t151="",
a152="要拿地图可以，先过我麾下儿郎这一关！",f152="现在的年轻人都是如此厉害么？看来时代真是变了……也许族长是对的，族人的性命才是更重要的事……",c152="",r152="",s152="",t152="",
a153="罢了罢了，地图就在那箱子里，你要的话就拿去吧。",f153="<!&player>，干得不错！",c153="",r153="",s153="",t153="",
a154="如今西域不太平，我感觉这些人的目的没那么简单，或许此事背后隐藏着更大的阴谋……",f154="总之，你自己要多加小心，有什么事就来南匈安找我。",c154="",r154="",s154="",t154="",
a155="关于地图的事情，你可以问问墨子虚，他博古通今，定会知道些什么。",f155="这地图曾被一分为七，你手中的只是残片之一。",c155="",r155="",s155="",t155="",
a156="七图合一，秦王陵现，千万不能让它们落在外族手中啊！",f156="白戎祖地的事多亏你了！",c156="",r156="",s156="",t156="",
a157="你刚回来就先放松一下，校武场那里正在比武，你不妨去玩玩。",f157="少侠好身手！这些人都是桀骜之徒，只有打败他们才能让它们真心臣服！",c157="",r157="",s157="",t157="",
a158="在校武场中征服的伙伴都能成为你前进道路上的一大助力，好好努力吧少侠！",f158="宝剑锋从磨砺出，记住，不断的战斗才是强者之路！",c158="",r158="",s158="",t158="",
a159="修为需要磨砺才能巩固，你去挑战征伐榜上的通缉犯吧，让他们成为你强者之路上的踏脚石！",f159="很好，不愧是我大汉的栋梁之才！",c159="",r159="",s159="",t159="",
a160="我收到消息，楼兰废墟遭大军突袭，正所谓唇亡齿寒，你去帮帮他们。",f160="（松了口气）你终于来了！",c160="",r160="",s160="",t160="",
a161="今日提比斯大军突袭，兄弟们死伤过半，你快去帮帮大家吧！",f161="虽然是螳臂当车，但吾等身受将军大恩，唯当死战而已。",c161="",r161="",s161="",t161="",
a162="喂，小心！",f162="咳咳……提比斯一向凶残暴虐，楼兰废墟若是沦陷的话，提比斯的下一个目标定是大汉边关！",c162="",r162="",s162="",t162="",
a163="将军那里情势最为危急，你去帮帮他吧！",f163="（神情复杂）同胞相残，天下间还有比这更痛苦的事吗？",c163="",r163="",s163="",t163="",
a164="提比斯除了要我们的命只要，还要那张传说中的地图残片。地图残片由西域武尊守护，你须去神庙废墟中找他拿来。",f164="你是何人？",c164="",r164="",s164="",t164="",
a165="这张地图是提比斯东征的关键，你要好好保管，一定不能让他得到。",f165="普理斯说得没错，在提比斯眼中，地图的重要性远远大过我们的性命，一日找不到地图，他便一日不会加害于我们。",c165="",r165="",s165="",t165="",
a166="敌众我寡之下，唯有联合起来才能对抗提比斯的大军，你快回雁门关寻求大汉军队的帮助吧！",f166="想不到提比斯野心竟如此之大，看来此事不管是不行了。",c166="",r166="",s166="",t166="",
